curve_id,age,volume,ps124,ps126,ps128,ps1210,p34,p36,p38,p310,p44,p46,p48,p410,pbark,pchips,psawdust,pshaving,ptrim
2422000,40.0,13,94,0,0,0,94,0,0,0,29,0,0,0,0.03,0.15,0.02,0.01,0.01
2422000,50.0,35,1554,0,0,0,1555,0,0,0,478,0,0,0,0.42,1.97,0.29,0.15,0.15
2422000,60.0,64,5431,204,4,0,5422,196,4,0,1559,39,1,0,1.37,5.94,1.0,0.53,0.45
2422000,70.0,98,9810,1382,113,12,9705,1252,99,8,2493,235,17,1,2.58,10.6,1.9,1.03,0.79
2422000,80.0,133,13658,3218,665,80,13267,2630,518,56,3182,456,79,7,3.84,15.18,2.86,1.57,1.16
2422000,90.0,168,16514,5547,1748,320,15683,4036,1270,228,3718,696,183,29,5.06,19.28,3.81,2.1,1.53
2422000,100.0,201,18476,8047,3111,838,17065,5344,2182,579,3970,922,315,78,6.2,22.83,4.7,2.6,1.86
2422000,110.0,231,20251,10077,4423,1639,18082,6333,3021,1077,4202,1093,443,150,7.21,25.85,5.51,3.07,2.17
2422000,120.0,259,21335,12149,5598,2832,18416,7447,3737,1728,4308,1296,549,255,8.12,28.31,6.26,3.49,2.45
2422000,130.0,283,21907,14129,6673,4075,18503,8462,4313,2455,4320,1482,643,366,8.9,30.35,6.9,3.85,2.7
2422000,140.0,306,22178,15961,7646,5276,18463,9366,4787,3188,4280,1650,727,475,9.58,32.08,7.46,4.18,2.92
2422000,150.0,326,22340,16981,8952,6592,18329,9733,5408,3911,4230,1729,842,591,10.16,33.48,7.93,4.45,3.1
2422000,160.0,344,22468,17852,10123,7765,18195,10034,5964,4553,4183,1795,946,694,10.67,34.7,8.34,4.69,3.26
2422000,170.0,361,22337,18916,10937,8938,17874,10436,6322,5186,4108,1896,1020,798,11.11,35.65,8.7,4.9,3.4
2422000,180.0,375,22150,19929,11605,10014,17531,10824,6606,5764,4030,1995,1081,893,11.48,36.45,9.02,5.08,3.53
2422000,190.0,389,21975,20822,12207,10982,17214,11163,6858,6280,3960,2082,1137,979,11.82,37.15,9.3,5.25,3.64
2422000,200.0,401,21995,21273,12993,11840,17046,11284,7175,6668,3944,2115,1207,1054,12.13,37.77,9.57,5.4,3.75
2422000,210.0,412,22010,21667,13704,12613,16890,11388,7461,7016,3929,2143,1270,1122,12.41,38.32,9.81,5.53,3.84
2422000,220.0,422,22016,21996,14345,13301,16744,11467,7717,7322,3915,2166,1327,1182,12.65,38.79,10.02,5.65,3.92
2422000,230.0,432,22014,22262,14927,13956,16606,11514,7945,7618,3900,2187,1381,1239,12.86,39.19,10.2,5.76,4.0
2422000,240.0,440,21992,22416,15446,14627,16468,11492,8134,7936,3881,2206,1436,1296,13.04,39.45,10.36,5.86,4.06
2422000,250.0,448,21972,22558,15923,15245,16341,11472,8308,8229,3864,2224,1486,1349,13.2,39.7,10.51,5.94,4.12
2422000,260.0,455,21795,22759,16138,15932,16107,11506,8410,8540,3827,2249,1509,1410,13.33,39.88,10.61,6.01,4.16
2422000,270.0,462,21580,22967,16264,16606,15852,11556,8486,8841,3787,2274,1524,1471,13.44,40.04,10.7,6.06,4.2
2422000,280.0,468,21381,23159,16382,17230,15616,11601,8556,9120,3750,2298,1537,1527,13.53,40.19,10.77,6.11,4.24
